stop_index,stop_name
0,Boleticka
1,Boleticka
2,Bretislavka
3,Bretislavka
4,Arbesovo namesti
5,Arbesovo namesti
6,Arbesovo namesti
7,Arbesovo namesti
8,Nove Vokovice
9,Nove Vokovice
10,Dolnokreslicka
11,Dolnokreslicka
12,Nasirovo namesti
13,Nasirovo namesti
14,Balabenka
15,Balabenka
16,Balabenka
17,Balabenka
18,Balabenka
19,Balkan
20,Balkan
21,Bane
22,Bane
23,Baterie
24,Baterie
25,Leharova
26,Leharova
27,Bazar
28,Bazar
29,Belarie
30,Belarie
31,Kralovsky letohradek
32,Kralovsky letohradek
33,Sidliste Letnany
34,Sidliste Letnany
35,K Lipanum
36,K Lipanum
37,Benkova
38,Benkova
39,Na Beranku
40,Na Beranku
41,Bertramka
42,Bertramka
43,Betonarka
44,Betonarka
45,Sidliste Jinonice
46,Sidliste Jinonice
47,Bechovice
48,Bechovice
49,Bechovice
50,Bechovice
51,Belocerkevska
52,Belocerkevska
53,Belocerkevska
54,Sidliste Horni Pocernice
55,Sidliste Horni Pocernice
56,Bila Hora
57,Bila Hora
58,Bila Hora
59,Bila Hora
60,Bila Hora
61,Bila Hora
62,Bila Hora
63,Bila Hora
64,Bila labut
65,Bila labut
66,Bily Beranek
67,Bily Beranek
68,Biskupcova
69,Biskupcova
70,Biskupcova
71,Biskupcova
72,Blatnicka
73,Blatnicka
74,Blatov
75,Blatov
76,Bohdalec
77,Bohdalec
78,Stare Bohnice
79,Stare Bohnice
80,Bojasova
81,Bojasova
82,Na Piskach
83,Na Piskach
84,Botanicka zahrada
85,Botanicka zahrada
86,Brechtova
87,Brechtova
88,Brevnovska
89,Brevnovska
90,Bruselska
91,Bruselska
92,Brusnice
93,Brusnice
94,Blatiny
95,Blatiny
96,Blatiny
97,Blatiny
98,Argentinska
99,Argentinska
100,Argentinska
101,Geologicka
102,Geologicka
103,Geologicka
104,Geologicka
105,Geologicka
106,Budejovicka
107,Budejovicka
108,Poliklinika Budejovicka
109,Poliklinika Budejovicka
110,Budejovicka
111,Budejovicka
112,Poliklinika Budejovicka
113,Budejovicka
114,Budejovicka
115,Budejovicka
116,Sportareal Satalice
117,Sportareal Satalice
118,Chodov
119,Chodov
120,Chodov
121,Chodov
122,Chodov
123,Budovec
124,Budovec
125,Bulovka
126,Bulovka
127,Bulovka
128,Bulovka
129,Bulovka
130,Bulovka
131,Simunkova
132,Simunkova
133,Simunkova
134,Kuliska
135,Kuliska
136,Cementarna Radotin
137,Cementarna Radotin
138,Nadrazi Cibulka
139,Nadrazi Cibulka
140,Cikanka
141,Cikanka
142,Cilkova
143,Cilkova
144,Ciolkovskeho
145,Ciolkovskeho
146,Cukrovar Modrany
147,Cukrovar Modrany
148,Cukrovar Cakovice
149,Cukrovar Cakovice
150,Cakovice
151,Cakovice
152,Cakovice
153,Cakovice
154,Cakovicka
155,Cakovicka
156,Cechova skola
157,Cechova skola
158,Cechovo namesti
159,Cechovo namesti
160,Cechovo namesti
161,Cechuv most
162,Cechuv most
163,Cerninova
164,Cerninova
165,Nove Strasnice
166,Nove Strasnice
167,Nove Strasnice
168,Nove Strasnice
169,Nove Strasnice
170,Nove Strasnice
171,Cerny kun
172,Cerny kun
173,Cerny kun
174,Cerny kun
175,Cerny kun
176,Cerny kun
177,Lehovec
178,Lehovec
179,Lehovec
180,Lehovec
181,Lehovec
182,Cerveny Vrch
183,Cerveny Vrch
184,Cimice
185,Cimice
186,Kolbenova
187,Kolbenova
188,Kolbenova
189,Kolbenova
190,Modranska skola
191,Modranska skola
192,Modranska skola
193,Modranska skola
194,Ladvi
195,Ladvi
196,Ladvi
197,Ladvi
198,Ladvi
199,Ladvi
200,Depo Kacerov
201,Depo Kacerov
202,Dedina
203,Dedina
204,Delnicka
205,Delnicka
206,Tusarova
207,Bilenecke namesti
208,Bilenecke namesti
209,Divadlo Na Fidlovacce
210,Divadlo Na Fidlovacce
211,Divci hrady
212,Divci hrady
213,Divci hrady
214,Divoka Sarka
215,Divoka Sarka
216,Divoka Sarka
217,Divoka Sarka
218,Divoka Sarka
219,Divoka Sarka
220,Divoka Sarka
221,Dlouha trida
222,Dlouha trida
223,Dobeska
224,Dobeska
225,Dobraticka
226,Dobraticka
227,Dobrocovicka
228,Dobrocovicka
229,Dobronicka
230,Dobronicka
231,Prunerovska
232,Prunerovska
233,Dolni Chabry
234,Dolni Chabry
235,Osecka
236,Osecka
237,Dolnomecholupska
238,U Strediska
239,U Strediska
240,Dolni Pocernice
241,Dolni Pocernice
242,Dolni Pocernice
243,Doliny
244,Doliny
245,Donovalska
246,Donovalska
247,Vltavska
248,Vltavska
249,Vltavska
250,Vltavska
251,Bubenska
252,Vltavska
253,Vltavska
254,Dostihova
255,Dostihova
256,Drinopol
257,Drinopol
258,Jiviny
259,Jiviny
260,Druhanicka
261,Opatov
262,Opatov
263,Opatov
264,Opatov
265,Opatov
266,Opatov
267,Skola Dubec
268,Skola Dubec
269,Dubecek
270,Dubecek
271,Dustojnicke domy
272,Dustojnicke domy
273,Dvorce
274,Dvorce
275,Dvorce
276,Dvorce
277,Dvorce
278,Dvorce
279,Vyhledske namesti
280,Vyhledske namesti
281,Dyrinka
282,Dyrinka
283,Hlusickova
284,Hlusickova
285,Hlusickova
286,Hlusickova
287,Krystalova
288,Krystalova
289,Nadrazi Holesovice
290,Nadrazi Holesovice
291,Nadrazi Holesovice
292,Nadrazi Holesovice
293,Nadrazi Holesovice
294,Nadrazi Holesovice
295,Nadrazi Holesovice
296,Nadrazi Holesovice
297,Nadrazi Holesovice
298,Nadrazi Holesovice
299,Nadrazi Holesovice
300,Farkan
301,Farkan
302,Filmove ateliery Barrandov
