trip_index,route_index,trip_headsign,direction_id
0,682,Nadrazi Klanovice,1
1,516,Vozovna Kobylisy,1
2,684,Sidliste Rohoznik,0
3,684,Sidliste Rohoznik,0
4,790,Haje,1
5,803,Depo Hostivar,1
6,74,Obchodni centrum Cakovice,1
7,803,Depo Hostivar,1
8,125,Na Knizeci,1
9,304,Koleje Jizni Mesto,0
10,121,Na Knizeci,1
11,514,Haje,0
12,121,Na Knizeci,1
13,831,Haje,0
14,183,Podolska vodarna,1
15,180,Podolska vodarna,1
16,380,Haje,0
17,73,Dolni Pocernice,0
18,832,Smichovske nadrazi,1
19,832,Smichovske nadrazi,1
20,130,Poliklinika Budejovicka,1
21,491,Opatov,0
22,183,Podolska vodarna,1
23,180,Podolska vodarna,1
24,584,Smichovske nadrazi,0
25,567,Seberak,0
26,511,Haje,0
27,512,Haje,0
28,872,Cerny Most,1
29,452,Florenc,1
30,150,Smichovske nadrazi,1
31,150,Smichovske nadrazi,1
32,445,Florenc,1
33,872,Cerny Most,1
34,484,Dejvicka,0
35,95,Chodov,0
36,95,Chodov,0
37,428,Depo Hostivar,1
38,147,Smichovske nadrazi,1
39,689,Zelivskeho,1
40,17,Spojovaci,0
41,565,Nadrazi Vrsovice,1
42,89,Kacerov,1
43,484,Dejvicka,0
44,376,Haje,0
45,44,Ladvi,1
46,462,Chodov,0
47,13,Sidliste Repy,1
48,463,Chodov,0
49,614,Sidliste Barrandov,1
50,147,Smichovske nadrazi,1
51,67,Palmovka,1
52,200,Jizni Mesto,0
53,51,Kacerov,1
54,321,Letnany,1
55,613,Sidliste Barrandov,1
56,936,Kubanske namesti,0
57,198,Sidliste Cakovice,1
58,269,Dejvicka,1
59,202,Sidliste Cakovice,1
60,200,Jizni Mesto,0
61,105,Nadrazi Veleslavin,1
62,112,Sidliste Barrandov,1
63,634,Cakovice,1
64,692,Haje,1
65,260,Dejvicka,1
66,378,Komorany,1
67,547,Smichovske nadrazi,1
68,434,Smichovske nadrazi,1
69,547,Smichovske nadrazi,1
70,267,Dejvicka,1
71,589,Smichovske nadrazi,0
72,489,Cerny Most,1
73,875,Nadrazi Hostivar,0
74,639,Stavebni zona Horni Pocernice,1
75,141,Smukyrka,0
76,221,Zelivskeho,1
77,45,Brezineves,0
78,742,Cerny Most,0
79,45,Brezineves,0
80,829,Cerny Most,1
81,12,Sidliste Repy,1
82,373,Sidliste Zbraslav,1
83,74,Obchodni centrum Cakovice,1
84,557,Na Knizeci,1
85,465,Chodov,0
86,875,Nadrazi Hostivar,0
87,68,Sporilov,1
88,875,Nadrazi Hostivar,0
89,466,Chodov,0
90,466,Chodov,0
91,698,Kacerov,1
92,320,Letnany,1
93,221,Zelivskeho,1
94,613,Sidliste Barrandov,1
95,269,Dejvicka,1
96,7,Sidliste Dablice,0
97,361,Depo Hostivar,1
98,388,Na Knizeci,1
99,810,Na Knizeci,0
100,809,Na Knizeci,0
101,7,Sidliste Dablice,0
102,191,Chodov,0
103,196,Jizni Mesto,0
104,197,Jizni Mesto,0
105,193,Jizni Mesto,0
106,194,Jizni Mesto,0
107,357,Borislavka,1
108,194,Jizni Mesto,0
109,430,Ve Zlibku,0
110,74,Obchodni centrum Cakovice,1
111,523,Letnany,1
112,519,Vozovna Kobylisy,1
113,148,Skalka,0
114,12,Sidliste Repy,1
115,214,Skalka,1
116,362,Sidliste Rohoznik,0
117,647,Depo Hostivar,1
118,267,Dejvicka,1
119,214,Skalka,1
120,845,Nadrazi Radotin,0
121,409,Sidliste Modrany,1
122,47,Smichovske nadrazi,0
123,978,Stary Hloubetin,0
124,482,Dejvicka,0
125,148,Skalka,0
126,978,Stary Hloubetin,0
127,260,Dejvicka,1
128,47,Smichovske nadrazi,0
129,421,Jizni Mesto,1
130,868,Lehovec,0
131,486,Zlicin,1
132,143,Zelivskeho,1
133,143,Zelivskeho,1
134,88,Nadrazi Holesovice,1
135,88,Nadrazi Holesovice,1
136,482,Dejvicka,0
137,82,Skalka,1
138,868,Lehovec,0
139,682,Nadrazi Klanovice,1
140,17,Spojovaci,0
141,241,Bazen Hloubetin,1
142,241,Bazen Hloubetin,1
143,242,Bazen Hloubetin,1
144,242,Bazen Hloubetin,1
145,229,Lehovec,0
146,553,Na Knizeci,1
147,968,Sidliste Barrandov,1
148,516,Vozovna Kobylisy,1
149,712,Bila Hora,1
150,15,Sidliste Repy,1
151,24,Sidliste Repy,1
152,20,Sidliste Repy,1
153,868,Lehovec,0
154,393,Nove Butovice,1
155,560,Seberak,0
156,968,Sidliste Barrandov,1
157,201,Sidliste Cakovice,1
158,195,Sidliste Cakovice,1
159,201,Sidliste Cakovice,1
160,195,Sidliste Cakovice,1
161,323,Letnany,1
162,293,Sidliste Cimice,1
163,376,Haje,0
164,67,Palmovka,1
165,229,Lehovec,0
166,530,Zelivskeho,1
167,752,Cerny Most,1
168,514,Haje,0
169,258,Dejvicka,1
170,745,Cerny Most,1
171,1170,Letnany,1
172,1174,Prazskeho povstani,1
173,68,Sporilov,1
174,588,Smichovske nadrazi,0
175,843,Smichovske nadrazi,1
176,566,Prazskeho povstani,1
177,562,Prazskeho povstani,1
178,218,Komorany,0
179,831,Haje,0
180,218,Komorany,0
181,313,Zelivskeho,1
182,596,Nadrazi Branik,1
183,596,Nadrazi Branik,1
184,685,Nadrazi Klanovice-sever,1
185,190,Florenc,1
186,363,Depo Hostivar,1
187,183,Podolska vodarna,1
188,180,Podolska vodarna,1
189,360,Kobylisy,1
190,773,Nadrazi Veleslavin,0
191,360,Kobylisy,1
192,619,Cerny Most,0
193,236,Palmovka,1
194,37,Sidliste Bohnice,0
195,12,Sidliste Repy,1
196,1173,Muzeum,0
197,619,Cerny Most,0
198,769,Nadrazi Veleslavin,0
199,149,Skalka,0
200,745,Cerny Most,1
201,513,Vozovna Kobylisy,1
202,68,Sporilov,1
203,757,Ve Zlibku,0
204,901,Sidliste Barrandov,1
205,1171,Prazskeho povstani,1
206,1163,Letnany,1
207,468,Poliklinika Mazurska,1
208,828,Cerny Most,1
209,204,Na Knizeci,1
210,149,Skalka,0
211,623,Nadrazi Holesovice,1
212,804,Depo Hostivar,1
213,878,Nadrazi Branik,1
214,182,Dvorce,0
215,960,Radlicka,1
216,352,Dejvicka,1
217,713,Nadrazi Hostivar,0
218,420,Jizni Mesto,1
219,749,Klanovice,0
220,749,Klanovice,0
221,843,Smichovske nadrazi,1
222,216,Ustavy Akademie ved,0
223,468,Poliklinika Mazurska,1
224,112,Sidliste Barrandov,1
225,1168,Haje,0
226,131,Nadrazi Branik,0
227,101,Smichovske nadrazi,0
228,219,Komorany,0
229,101,Smichovske nadrazi,0
230,464,Poliklinika Mazurska,1
231,461,Chodov,0
232,279,Zelivskeho,1
233,73,Dolni Pocernice,0
234,591,Haje,1
235,592,Haje,1
236,279,Zelivskeho,1
237,464,Poliklinika Mazurska,1
238,377,Komorany,1
239,474,Nadrazi Podbaba,1
240,21,Spojovaci,0
241,180,Podolska vodarna,1
242,183,Podolska vodarna,1
243,491,Opatov,0
244,17,Spojovaci,0
245,300,Strasnicka,1
246,294,Ceskomoravska,0
247,480,Obchodni centrum Zlicin,1
248,246,Nove Butovice,1
249,481,Zlicin,1
250,828,Cerny Most,1
251,130,Poliklinika Budejovicka,1
252,537,Kacerov,1
253,567,Seberak,0
254,219,Komorany,0
255,511,Haje,0
256,512,Haje,0
257,938,Palmovka,1
258,532,Zelivskeho,1
259,250,Kobylisy,1
260,618,Kobylisy,1
261,17,Spojovaci,0
262,872,Cerny Most,1
263,523,Letnany,1
264,640,Sidliste Petrovice,0
265,1169,Muzeum,0
266,240,Ve Zlibku,0
267,412,Sidliste Modrany,1
268,964,Palackeho namesti,1
269,240,Ve Zlibku,0
270,640,Sidliste Petrovice,0
271,25,Spojovaci,0
272,6,Sidliste Petriny,1
273,980,Stary Hloubetin,0
274,73,Dolni Pocernice,0
275,980,Stary Hloubetin,0
276,939,Palmovka,1
277,593,Zelivskeho,1
278,995,Narodni divadlo,1
279,758,Dolnopocernicky hrbitov,1
280,155,Smichovske nadrazi,1
281,96,Dejvicka,1
282,809,Na Knizeci,0
283,926,Palackeho namesti,1
284,393,Nove Butovice,1
285,244,Ve Zlibku,0
286,244,Ve Zlibku,0
287,471,Nadrazi Podbaba,1
288,13,Sidliste Repy,1
289,428,Depo Hostivar,1
290,428,Depo Hostivar,1
291,1154,Depo Hostivar,1
292,1165,Haje,0
293,457,Poliklinika Mazurska,1
294,689,Zelivskeho,1
295,435,Depo Hostivar,1
296,147,Smichovske nadrazi,1
297,689,Zelivskeho,1
298,531,Kavci hory,0
299,261,Bavorska,0
300,559,Letiste,0
301,457,Poliklinika Mazurska,1
302,70,Olsanske hrbitovy,0
303,17,Spojovaci,0
304,564,Seberak,0
305,266,Mototechna,0
306,562,Prazskeho povstani,1
307,1145,Depo Hostivar,1
308,113,Sidliste Barrandov,1
309,16,Spojovaci,0
310,456,Karlovo namesti,1
311,44,Ladvi,1
312,897,Andel,1
313,17,Spojovaci,0
314,874,Nadrazi Hostivar,0
315,125,Na Knizeci,1
316,433,Na Hvezdarne,0
317,121,Na Knizeci,1
318,181,Dvorce,0
319,693,Nadrazi Uhrineves,0
320,200,Jizni Mesto,0
321,614,Sidliste Barrandov,1
322,147,Smichovske nadrazi,1
323,865,Bila Hora,1
324,1166,Muzeum,0
325,1167,Letnany,1
326,875,Nadrazi Hostivar,0
327,723,Nadrazi Hostivar,0
328,347,Sidliste Repy,1
329,347,Sidliste Repy,1
330,851,Zlicin,1
331,13,Sidliste Repy,1
332,105,Nadrazi Veleslavin,1
333,210,Ustavy Akademie ved,0
334,936,Kubanske namesti,0
335,342,Sidliste Repy,1
336,92,Kacerov,1
337,336,Kotlarka,1
338,613,Sidliste Barrandov,1
339,610,Divoka Sarka,0
340,46,Smichovske nadrazi,0
341,200,Jizni Mesto,0
342,210,Ustavy Akademie ved,0
343,575,Sidliste Letnany,1
344,575,Sidliste Letnany,1
345,144,Zeleny pruh,0
346,132,Nadrazi Branik,0
347,740,Nadrazi Hostivar,0
348,0,Sidliste Petriny,1
349,13,Sidliste Repy,1
350,1148,Nemocnice Motol,0
351,1153,Nemocnice Motol,0
352,53,Dejvicka,1
353,574,Jesenicka,0
354,574,Jesenicka,0
355,112,Sidliste Barrandov,1
356,177,Borislavka,1
357,177,Borislavka,1
358,573,Jesenicka,0
359,547,Smichovske nadrazi,1
360,547,Smichovske nadrazi,1
361,145,Skalka,0
362,260,Dejvicka,1
363,267,Dejvicka,1
364,1164,Haje,0
365,1171,Prazskeho povstani,1
366,1163,Letnany,1
367,1162,Zlicin,1
368,139,Kavalirka,1
369,785,Haje,1
370,456,Karlovo namesti,1
371,785,Haje,1
372,114,Narodni divadlo,1
373,489,Cerny Most,1
374,114,Narodni divadlo,1
375,489,Cerny Most,1
376,221,Zelivskeho,1
377,12,Sidliste Repy,1
378,633,Poliklinika Mazurska,1
379,68,Sporilov,1
380,43,Ladvi,1
381,142,Zeleny pruh,0
382,120,Narodni divadlo,1
383,833,Lipence,0
384,733,Bila Hora,1
385,875,Nadrazi Hostivar,0
386,940,Kubanske namesti,0
387,373,Sidliste Zbraslav,1
388,12,Sidliste Repy,1
389,733,Bila Hora,1
390,120,Narodni divadlo,1
391,940,Kubanske namesti,0
392,885,Nadrazi Branik,1
393,1156,Zlicin,1
394,1160,Cerny Most,0
395,465,Chodov,0
396,870,Bila Hora,1
397,278,Na Beranku,0
398,583,Kacerov,1
399,466,Chodov,0
400,983,Sidliste Repy,1
401,870,Bila Hora,1
402,474,Nadrazi Podbaba,1
403,698,Kacerov,1
404,278,Na Beranku,0
405,466,Chodov,0
406,885,Nadrazi Branik,1
407,652,Letnany,1
408,221,Zelivskeho,1
409,880,Kobylisy,0
410,68,Sporilov,1
411,770,Velka Ohrada,1
412,90,Pisnice,0
413,422,Jizni Mesto,1
414,873,Divoka Sarka,1
415,873,Divoka Sarka,1
416,880,Kobylisy,0
417,697,Sidliste Libus,0
418,357,Borislavka,1
419,870,Bila Hora,1
420,977,Nadrazi Podbaba,1
421,969,Nove Strasnice,0
422,613,Sidliste Barrandov,1
423,356,Predni Kopanina,0
424,356,Predni Kopanina,0
425,7,Sidliste Dablice,0
426,802,Sidliste Uhrineves,0
427,142,Zeleny pruh,0
428,853,Nadrazi Radotin,1
429,620,Nadrazi Holesovice,1
430,620,Nadrazi Holesovice,1
431,802,Sidliste Uhrineves,0
432,145,Skalka,0
433,659,Nadrazi Uhrineves,0
434,804,Depo Hostivar,1
435,607,Divoka Sarka,0
436,193,Jizni Mesto,0
437,194,Jizni Mesto,0
438,388,Na Knizeci,1
439,1172,Haje,0
440,473,Vozovna Pankrac,0
441,584,Smichovske nadrazi,0
442,257,Vyhledy,0
443,532,Zelivskeho,1
444,831,Haje,0
445,191,Chodov,0
446,194,Jizni Mesto,0
447,215,Sidliste Skalka,1
448,438,Vypich,1
449,7,Sidliste Dablice,0
450,430,Ve Zlibku,0
451,12,Sidliste Repy,1
452,397,Kobylisy,1
453,982,Spojovaci,0
454,1158,Cerny Most,0
455,978,Stary Hloubetin,0
456,637,Poliklinika Budejovicka,1
457,409,Sidliste Modrany,1
458,482,Dejvicka,0
459,122,Nadrazi Radotin,0
460,978,Stary Hloubetin,0
461,226,Lehovec,0
462,287,Ceskomoravska,1
463,590,Haje,1
464,226,Lehovec,0
465,384,Bulovka,1
466,126,Nadrazi Radotin,0
467,74,Obchodni centrum Cakovice,1
468,286,Ceskomoravska,1
469,81,Skalka,1
470,215,Sidliste Skalka,1
471,520,Velka Ohrada,1
472,482,Dejvicka,0
473,872,Cerny Most,1
474,553,Na Knizeci,1
475,209,Skalka,1
476,179,Sidliste Malesice,0
477,95,Chodov,0
478,95,Chodov,0
479,17,Spojovaci,0
480,534,Kavci hory,0
481,100,Poliklinika Budejovicka,1
482,100,Poliklinika Budejovicka,1
483,523,Letnany,1
484,534,Kavci hory,0
485,359,Dolni Chabry,0
486,143,Zelivskeho,1
487,143,Zelivskeho,1
488,429,Ve Zlibku,0
489,421,Jizni Mesto,1
490,868,Lehovec,0
491,868,Lehovec,0
492,242,Bazen Hloubetin,1
493,241,Bazen Hloubetin,1
494,868,Lehovec,0
495,1155,Cerny Most,0
496,654,Letnany,1
497,195,Sidliste Cakovice,1
498,195,Sidliste Cakovice,1
499,229,Lehovec,0
500,553,Na Knizeci,1
501,515,Haje,0
502,24,Sidliste Repy,1
503,968,Sidliste Barrandov,1
504,560,Seberak,0
505,15,Sidliste Repy,1
506,376,Haje,0
507,24,Sidliste Repy,1
508,293,Sidliste Cimice,1
509,5,Sidliste Dablice,0
510,293,Sidliste Cimice,1
511,968,Sidliste Barrandov,1
512,720,Nadrazi Hostivar,0
513,712,Bila Hora,1
514,201,Sidliste Cakovice,1
515,201,Sidliste Cakovice,1
516,20,Sidliste Repy,1
517,67,Palmovka,1
518,713,Nadrazi Hostivar,0
519,17,Spojovaci,0
520,112,Sidliste Barrandov,1
521,704,Nadrazi Hostivar,0
522,229,Lehovec,0
523,394,Bila Hora,0
524,1161,Zlicin,1
525,1145,Depo Hostivar,1
526,959,Nove Strasnice,0
527,363,Depo Hostivar,1
528,530,Zelivskeho,1
529,258,Dejvicka,1
530,609,Sidliste Barrandov,1
531,530,Zelivskeho,1
532,751,Cerny Most,1
533,861,Bila Hora,1
534,899,Smichovske nadrazi,0
535,615,Sidliste Barrandov,1
536,861,Bila Hora,1
537,520,Velka Ohrada,1
538,176,Hradcanska,0
539,578,Sidliste Letnany,1
540,606,Sidliste Barrandov,1
541,752,Cerny Most,1
542,121,Na Knizeci,1
543,178,Florenc,1
544,1166,Muzeum,0
545,1167,Letnany,1
546,512,Haje,0
547,980,Stary Hloubetin,0
548,51,Kacerov,1
549,68,Sporilov,1
550,843,Smichovske nadrazi,1
551,831,Haje,0
552,397,Kobylisy,1
553,224,Sporilov,1
554,224,Sporilov,1
555,436,Depo Hostivar,0
556,223,Sporilov,1
557,223,Sporilov,1
558,420,Jizni Mesto,1
559,231,Lehovec,0
560,511,Haje,0
561,65,Dolni Pocernice,0
562,178,Florenc,1
563,730,Bila Hora,1
564,596,Nadrazi Branik,1
565,180,Podolska vodarna,1
566,64,VU Bechovice,0
567,190,Florenc,1
568,684,Sidliste Rohoznik,0
569,684,Sidliste Rohoznik,0
570,566,Prazskeho povstani,1
571,684,Sidliste Rohoznik,0
572,562,Prazskeho povstani,1
573,183,Podolska vodarna,1
574,730,Bila Hora,1
575,146,Smichovske nadrazi,1
576,67,Palmovka,1
577,1144,Nemocnice Motol,0
578,1148,Nemocnice Motol,0
579,236,Palmovka,1
580,988,Spojovaci,0
581,643,Staromestska,1
582,180,Podolska vodarna,1
583,991,Sidliste Repy,1
584,80,Dubec,0
585,810,Na Knizeci,0
586,80,Dubec,0
587,176,Hradcanska,0
588,643,Staromestska,1
589,146,Smichovske nadrazi,1
590,394,Bila Hora,0
591,579,Kacerov,1
592,304,Koleje Jizni Mesto,0
593,579,Kacerov,1
594,773,Nadrazi Veleslavin,0
595,991,Sidliste Repy,1
596,1002,Sidliste Repy,1
597,589,Smichovske nadrazi,0
598,102,Sidliste Sporilov,1
599,513,Vozovna Kobylisy,1
600,753,Sidliste Horni Pocernice,0
601,852,Sidliste Zbraslav,0
602,809,Na Knizeci,0
603,619,Cerny Most,0
604,183,Podolska vodarna,1
605,102,Sidliste Sporilov,1
606,68,Sporilov,1
607,12,Sidliste Repy,1
608,988,Spojovaci,0
609,549,Letiste,0
610,53,Dejvicka,1
611,376,Haje,0
612,1164,Haje,0
613,1163,Letnany,1
614,1171,Prazskeho povstani,1
615,420,Jizni Mesto,1
616,464,Poliklinika Mazurska,1
617,879,Sidliste Modrany,1
618,769,Nadrazi Veleslavin,0
619,12,Sidliste Repy,1
620,253,Zelivskeho,1
621,141,Smukyrka,0
622,233,Sporilov,1
623,227,Sporilov,1
624,182,Dvorce,0
625,960,Radlicka,1
626,828,Cerny Most,1
627,639,Stavebni zona Horni Pocernice,1
628,878,Nadrazi Branik,1
629,871,Sidliste Rohoznik,0
630,362,Sidliste Rohoznik,0
631,227,Sporilov,1
632,130,Poliklinika Budejovicka,1
633,772,Velka Ohrada,1
634,773,Nadrazi Veleslavin,0
635,713,Nadrazi Hostivar,0
636,233,Sporilov,1
637,633,Poliklinika Mazurska,1
638,204,Na Knizeci,1
639,1156,Zlicin,1
640,930,Holyne,1
641,697,Sidliste Libus,0
642,139,Kavalirka,1
643,279,Zelivskeho,1
644,107,Vystaviste,0
645,134,Nadrazi Branik,0
646,279,Zelivskeho,1
647,701,Borislavka,0
648,591,Haje,1
649,461,Chodov,0
650,73,Dolni Pocernice,0
651,536,Sidliste Lhotka,0
652,686,Nepasicke namesti,0
653,74,Obchodni centrum Cakovice,1
654,219,Komorany,0
655,765,Velka Ohrada,1
656,464,Poliklinika Mazurska,1
657,769,Nadrazi Veleslavin,0
658,565,Nadrazi Vrsovice,1
659,237,Palmovka,1
660,57,Sidliste Na Dedine,1
661,294,Ceskomoravska,0
662,586,Smichovske nadrazi,0
663,109,Vystaviste,0
664,294,Ceskomoravska,0
665,71,Sporilov,1
666,551,Na Knizeci,1
667,875,Nadrazi Hostivar,0
668,50,Nadrazi Branik,0
669,343,Ustredni dilny DP,0
